,State,District,Year,Quartar,Trans_Count,Amount
290,Andhra Pradesh,Chittoor,2022,1,58561024,117900595508.634
291,Andhra Pradesh,Guntur,2022,1,57226996,129673727687.08942
292,Andhra Pradesh,Krishna,2022,1,61826199,139690081529.49048
293,Andhra Pradesh,East Godavari,2022,2,62072845,135531452997.6391
294,Andhra Pradesh,Srikakulam,2022,2,23727353,53754764122.4327
295,Andhra Pradesh,Spsr Nellore,2022,2,54838708,121941082043.49483
296,Andhra Pradesh,Vizianagaram,2022,2,21766135,47294745020.495636
297,Andhra Pradesh,Visakhapatnam,2022,2,101387402,193242841582.14285
298,Andhra Pradesh,Prakasam,2022,2,36163507,90435082545.97766
299,Andhra Pradesh,Anantapur,2022,2,46099366,102138758015.76915
300,Andhra Pradesh,Ysr,2022,2,33154559,87601310069.59737
301,Andhra Pradesh,West Godavari,2022,2,44409239,107973244960.42824
302,Andhra Pradesh,Kurnool,2022,2,40165692,92409350855.50198
303,Andhra Pradesh,Chittoor,2022,2,67507661,136435445124.75616
304,Andhra Pradesh,Guntur,2022,2,66315749,147098141568.7623
305,Andhra Pradesh,Krishna,2022,2,73525814,163997729295.93134
306,Andhra Pradesh,East Godavari,2022,3,61467134,129677722169.74829
307,Andhra Pradesh,Srikakulam,2022,3,22126541,46899962921.785614
308,Andhra Pradesh,Spsr Nellore,2022,3,42116582,95099325968.25972
309,Andhra Pradesh,Vizianagaram,2022,3,20440645,42513313394.84207
310,Andhra Pradesh,Visakhapatnam,2022,3,97434546,181124419863.61444
311,Andhra Pradesh,Prakasam,2022,3,35376080,87475230073.46387
312,Andhra Pradesh,Anantapur,2022,3,45165363,97735649608.10074
313,Andhra Pradesh,Ysr,2022,3,33119038,86016932181.12372
314,Andhra Pradesh,West Godavari,2022,3,43635951,101706854744.31876
315,Andhra Pradesh,Kurnool,2022,3,39557913,88415335176.31995
316,Andhra Pradesh,Chittoor,2022,3,65751781,133053581631.6395
317,Andhra Pradesh,Guntur,2022,3,65612317,141588522953.23773
318,Andhra Pradesh,Krishna,2022,3,71051144,153770559025.69125
319,Andhra Pradesh,East Godavari,2022,4,68016055,136531110139.86256
320,Andhra Pradesh,Srikakulam,2022,4,23693779,47726411107.88628
321,Andhra Pradesh,Spsr Nellore,2022,4,42582064,92085916180.6851
322,Andhra Pradesh,Vizianagaram,2022,4,22205190,44467386404.34758
323,Andhra Pradesh,Visakhapatnam,2022,4,103790055,185306149744.73108
324,Andhra Pradesh,Prakasam,2022,4,37211077,88105031866.36835
325,Andhra Pradesh,Anantapur,2022,4,48299601,101533878537.23433
326,Andhra Pradesh,Ysr,2022,4,35201596,87360426792.81667
327,Andhra Pradesh,West Godavari,2022,4,47919930,105335724990.59325
328,Andhra Pradesh,Kurnool,2022,4,43524766,94667441029.08345
329,Andhra Pradesh,Chittoor,2022,4,70322534,136840859888.18155
330,Andhra Pradesh,Guntur,2022,4,70723763,146938735166.52365
331,Andhra Pradesh,Krishna,2022,4,76526667,157826011193.35443
332,Andhra Pradesh,East Godavari,2023,1,115196449,223454724672.0
333,Andhra Pradesh,Srikakulam,2023,1,42209999,86486032409.0
334,Andhra Pradesh,Spsr Nellore,2023,1,71318689,143967164643.0
335,Andhra Pradesh,Vizianagaram,2023,1,38838861,76472384525.0
336,Andhra Pradesh,Visakhapatnam,2023,1,164358781,277211090180.0
337,Andhra Pradesh,Prakasam,2023,1,63671149,141672839638.0
338,Andhra Pradesh,Anantapur,2023,1,82127373,162287796625.0
339,Andhra Pradesh,Ysr,2023,1,59768512,140117633668.0
340,Andhra Pradesh,West Godavari,2023,1,79094558,165941144654.0
341,Andhra Pradesh,Kurnool,2023,1,72405172,149100361797.0
342,Andhra Pradesh,Chittoor,2023,1,120192355,218037027226.0
343,Andhra Pradesh,Guntur,2023,1,114246185,226244225817.0
344,Andhra Pradesh,Krishna,2023,1,122104381,238058890676.0
345,Andhra Pradesh,East Godavari,2023,2,131243375,245134717109.0
346,Andhra Pradesh,Srikakulam,2023,2,47633204,93082175904.0
347,Andhra Pradesh,Spsr Nellore,2023,2,82056071,165181391414.0
348,Andhra Pradesh,Vizianagaram,2023,2,43625851,82671020353.0
349,Andhra Pradesh,Visakhapatnam,2023,2,184918179,303874597259.0
350,Andhra Pradesh,Prakasam,2023,2,73598725,158428689659.0
351,Andhra Pradesh,Anantapur,2023,2,91695174,180050369328.0
352,Andhra Pradesh,Ysr,2023,2,66809788,156231915019.0
353,Andhra Pradesh,West Godavari,2023,2,92533269,187699526244.0
354,Andhra Pradesh,Kurnool,2023,2,81475907,166991990104.0
355,Andhra Pradesh,Chittoor,2023,2,136283483,245550525910.0
356,Andhra Pradesh,Guntur,2023,2,132035450,254140764680.0
357,Andhra Pradesh,Krishna,2023,2,141748488,267001403933.0
358,Andhra Pradesh,East Godavari,2023,3,148701666,260414286361.0
359,Andhra Pradesh,Srikakulam,2023,3,51382393,91818203167.0
360,Andhra Pradesh,Spsr Nellore,2023,3,93875073,176593750929.0
361,Andhra Pradesh,Vizianagaram,2023,3,47856766,83289704541.0
362,Andhra Pradesh,Visakhapatnam,2023,3,209884966,328927220951.0
363,Andhra Pradesh,Prakasam,2023,3,84447202,171207298619.0
364,Andhra Pradesh,Anantapur,2023,3,104539628,192477441164.0
365,Andhra Pradesh,Ysr,2023,3,76091693,168218516193.0
