,State,District,Year,Quartar,Registered_Users,App_Open_Count
376,Andhra Pradesh,Kurnool,2023,4,2383042,86461750
377,Andhra Pradesh,Guntur,2023,4,3251121,132403935
378,Andhra Pradesh,Krishna,2023,4,3291814,121925706
379,Andhra Pradesh,Spsr Nellore,2023,4,1956706,78993397
380,Andhra Pradesh,Vizianagaram,2023,4,1236735,42889385
381,Andhra Pradesh,Ysr,2023,4,1829864,69721701
382,Andhra Pradesh,West Godavari,2023,4,2227243,86297777
383,Andhra Pradesh,Chittoor,2023,4,3089391,143201818
384,Arunachal Pradesh,Lower Subansiri,2018,1,498,0
385,Arunachal Pradesh,Tirap,2018,1,557,0
386,Arunachal Pradesh,Papum Pare,2018,1,7649,0
387,Arunachal Pradesh,Anjaw,2018,1,278,0
388,Arunachal Pradesh,Lower Siang,2018,1,270,0
389,Arunachal Pradesh,Dibang Valley,2018,1,66,0
390,Arunachal Pradesh,West Kameng,2018,1,2202,0
391,Arunachal Pradesh,Shi Yomi,2018,1,49,0
392,Arunachal Pradesh,East Kameng,2018,1,222,0
393,Arunachal Pradesh,Lohit,2018,1,1207,0
394,Arunachal Pradesh,Lepa Rada,2018,1,210,0
395,Arunachal Pradesh,Lower Dibang Valley,2018,1,601,0
396,Arunachal Pradesh,Longding,2018,1,256,0
397,Arunachal Pradesh,West Siang,2018,1,846,0
398,Arunachal Pradesh,Kamle,2018,1,22,0
399,Arunachal Pradesh,Upper Siang,2018,1,301,0
400,Arunachal Pradesh,Kurung Kumey,2018,1,97,0
401,Arunachal Pradesh,Siang,2018,1,192,0
402,Arunachal Pradesh,Kra Daadi,2018,1,88,0
403,Arunachal Pradesh,Changlang,2018,1,1208,0
404,Arunachal Pradesh,Pakke Kessang,2018,1,39,0
405,Arunachal Pradesh,East Siang,2018,1,1803,0
406,Arunachal Pradesh,Upper Subansiri,2018,1,572,0
407,Arunachal Pradesh,Tawang,2018,1,1525,0
408,Arunachal Pradesh,Namsai,2018,1,737,0
409,Arunachal Pradesh,Lower Subansiri,2018,2,724,0
410,Arunachal Pradesh,Tirap,2018,2,856,0
411,Arunachal Pradesh,Papum Pare,2018,2,11418,0
412,Arunachal Pradesh,Anjaw,2018,2,410,0
413,Arunachal Pradesh,Lower Siang,2018,2,494,0
414,Arunachal Pradesh,Dibang Valley,2018,2,112,0
415,Arunachal Pradesh,West Kameng,2018,2,3442,0
416,Arunachal Pradesh,Shi Yomi,2018,2,80,0
417,Arunachal Pradesh,East Kameng,2018,2,343,0
418,Arunachal Pradesh,Lohit,2018,2,1898,0
419,Arunachal Pradesh,Lepa Rada,2018,2,318,0
420,Arunachal Pradesh,Lower Dibang Valley,2018,2,893,0
421,Arunachal Pradesh,Longding,2018,2,412,0
422,Arunachal Pradesh,West Siang,2018,2,1224,0
423,Arunachal Pradesh,Kamle,2018,2,37,0
424,Arunachal Pradesh,Upper Siang,2018,2,481,0
425,Arunachal Pradesh,Kurung Kumey,2018,2,153,0
426,Arunachal Pradesh,Siang,2018,2,293,0
427,Arunachal Pradesh,Kra Daadi,2018,2,144,0
428,Arunachal Pradesh,Changlang,2018,2,2014,0
429,Arunachal Pradesh,Pakke Kessang,2018,2,66,0
430,Arunachal Pradesh,East Siang,2018,2,2646,0
431,Arunachal Pradesh,Upper Subansiri,2018,2,883,0
432,Arunachal Pradesh,Tawang,2018,2,2266,0
433,Arunachal Pradesh,Namsai,2018,2,1276,0
434,Arunachal Pradesh,Lower Subansiri,2018,3,1033,0
435,Arunachal Pradesh,Tirap,2018,3,1226,0
436,Arunachal Pradesh,Papum Pare,2018,3,16009,0
437,Arunachal Pradesh,Anjaw,2018,3,542,0
438,Arunachal Pradesh,Lower Siang,2018,3,717,0
439,Arunachal Pradesh,Dibang Valley,2018,3,145,0
440,Arunachal Pradesh,West Kameng,2018,3,4765,0
441,Arunachal Pradesh,Shi Yomi,2018,3,118,0
442,Arunachal Pradesh,East Kameng,2018,3,521,0
443,Arunachal Pradesh,Lohit,2018,3,2612,0
444,Arunachal Pradesh,Lepa Rada,2018,3,431,0
445,Arunachal Pradesh,Lower Dibang Valley,2018,3,1286,0
446,Arunachal Pradesh,Longding,2018,3,644,0
447,Arunachal Pradesh,West Siang,2018,3,1652,0
448,Arunachal Pradesh,Kamle,2018,3,65,0
449,Arunachal Pradesh,Upper Siang,2018,3,646,0
450,Arunachal Pradesh,Kurung Kumey,2018,3,222,0
451,Arunachal Pradesh,Siang,2018,3,373,0
452,Arunachal Pradesh,Kra Daadi,2018,3,190,0
